Date,Request No.,Work Order No.,Site,Location,Complaint Type,Complainant,Complaint Description,Severity,Trade,PIC Name,Repair Description,Rating,Progress,Fixed By,Assigned By,Verified By,Complaint Time,Respond Duration,Assigned Time,Executed Time,Verified Time,Assistants
01/07/2025,REQ-2025-001,WO-2025-001,Main Building,Level 1 Reception Area,Breakdown,test client,Air conditioning not working in reception,Critical,HVAC,Mike Johnson,Replaced faulty compressor and cleaned filters,5,Completed,attendance2,GEMS Demo,test client,01/07/2025 8:00,30,01/07/2025 8:30,01/07/2025 14:00,01/07/2025 16:00,attendance1
02/07/2025,REQ-2025-002,WO-2025-002,Office Block A,Level 2 Conference Room,Client Complaint,test client,Projector screen not working properly,Non-Critical,Electrical,David Wilson,Replaced projector lamp and calibrated screen,4,Completed,attendance2,GEMS Demo,test client,02/07/2025 9:15,45,02/07/2025 10:00,02/07/2025 15:30,02/07/2025 17:00,
03/07/2025,REQ-2025-003,WO-2025-003,Parking Area,Ground Floor Parking Lot,Self Finding,test client,Parking barrier gate stuck,Critical,Mechanical,Carlos Rodriguez,Lubricated gate mechanism and replaced sensor,5,Completed,attendance2,GEMS Demo,test client,03/07/2025 7:30,15,03/07/2025 7:45,03/07/2025 11:00,03/07/2025 12:30,
04/07/2025,REQ-2025-004,WO-2025-004,Main Building,Level 3 IT Server Room,Request,test client,Server room temperature too high,Critical,HVAC,Mike Johnson,Cleaned AC vents and replaced thermostat,5,Completed,attendance2,GEMS Demo,test client,04/07/2025 10:00,60,04/07/2025 11:00,04/07/2025 16:00,04/07/2025 18:00,attendance1
05/07/2025,REQ-2025-005,WO-2025-005,Office Block B,Level 1 Lobby,Public Complaint,test client,Elevator making strange noises,Non-Critical,Mechanical,Carlos Rodriguez,Adjusted elevator cables and lubricated pulleys,4,Completed,attendance2,GEMS Demo,test client,05/07/2025 11:30,90,05/07/2025 13:00,06/07/2025 9:00,06/07/2025 11:00,
06/07/2025,REQ-2025-006,WO-2025-006,Cafeteria,Main Dining Area,Breakdown,test client,Coffee machine not dispensing hot water,Critical,Plumbing,Peter Singh,Replaced heating element and descaled system,5,Completed,attendance2,GEMS Demo,test client,06/07/2025 6:00,30,06/07/2025 6:30,06/07/2025 8:00,06/07/2025 9:30,
07/07/2025,REQ-2025-007,WO-2025-007,Restroom Facilities,Level 2 Men's Restroom,Client Complaint,test client,Toilet seat broken in stall 3,Non-Critical,General Maintenance,James Taylor,Replaced toilet seat and tightened bolts,3,Completed,attendance2,GEMS Demo,test client,07/07/2025 14:00,120,07/07/2025 16:00,08/07/2025 10:00,08/07/2025 11:00,
08/07/2025,REQ-2025-008,WO-2025-008,Security Office,Ground Floor Security Desk,Self Finding,test client,CCTV camera 5 showing black screen,Critical,Electrical,David Wilson,Replaced camera cable and reset system,4,Completed,attendance2,GEMS Demo,test client,08/07/2025 22:00,60,08/07/2025 23:00,09/07/2025 8:00,09/07/2025 10:00,
09/07/2025,REQ-2025-009,WO-2025-009,Gymnasium,Sports Hall,Request,test client,Basketball hoop net torn,Non-Critical,General Maintenance,James Taylor,Replaced basketball net and checked rim stability,4,Completed,attendance2,GEMS Demo,test client,09/07/2025 16:00,24,10/07/2025 8:00,10/07/2025 14:00,10/07/2025 15:30,
10/07/2025,REQ-2025-010,WO-2025-010,Office Block A,Level 4 Finance Department,Breakdown,test client,Printer paper jam and not responding,Critical,Electrical,David Wilson,Cleared paper jam and updated printer drivers,5,Completed,attendance2,GEMS Demo,test client,10/07/2025 9:00,30,10/07/2025 9:30,10/07/2025 11:00,10/07/2025 12:00,
